pclass,survived,sex,age,sibsp,parch,fare,embarked
Upper,Yes,female,33,1,0,53.1,S
Upper,Yes,female,36,0,0,262.375,C
Upper,Yes,female,30,0,0,86.5,S
Upper,Yes,male,45,0,0,29.7,C
Upper,Yes,female,NA,0,1,55,S
Upper,No,male,NA,0,0,0,S
Upper,No,male,27,1,0,136.7792,C
Upper,Yes,female,26,1,0,136.7792,C
Upper,Yes,female,22,0,0,151.55,S
Upper,No,male,NA,0,0,52,S
Upper,No,male,47,0,0,25.5875,S
Upper,Yes,female,39,1,1,83.1583,C
Upper,No,male,37,1,1,83.1583,C
Upper,Yes,female,64,0,2,83.1583,C
Upper,Yes,female,55,2,0,25.7,S
Upper,No,male,NA,0,0,26.55,S
Upper,No,male,70,1,1,71,S
Upper,Yes,female,36,0,2,71,S
Upper,Yes,female,64,1,1,26.55,S
Upper,No,male,39,1,0,71.2833,C
Upper,Yes,female,38,1,0,71.2833,C
Upper,Yes,male,51,0,0,26.55,S
Upper,Yes,male,27,0,0,30.5,S
Upper,Yes,female,33,0,0,151.55,S
Upper,No,male,31,1,0,52,S
Upper,Yes,female,27,1,2,52,S
Upper,Yes,male,31,1,0,57,S
Upper,Yes,female,17,1,0,57,S
Upper,Yes,male,53,1,1,81.8583,S
Upper,Yes,male,4,0,2,81.8583,S
Upper,Yes,female,54,1,1,81.8583,S
Upper,No,male,50,1,0,106.425,C
Upper,Yes,female,27,1,1,247.5208,C
Upper,Yes,female,48,1,0,106.425,C
Upper,Yes,female,48,1,0,39.6,C
Upper,Yes,male,49,1,0,56.9292,C
Upper,No,male,39,0,0,29.7,C
Upper,Yes,female,23,0,1,83.1583,C
Upper,Yes,female,38,0,0,227.525,C
Upper,Yes,female,54,1,0,78.2667,C
Upper,No,female,36,0,0,31.6792,C
Upper,No,male,NA,0,0,221.7792,S
Upper,Yes,female,NA,0,0,31.6833,S
Upper,Yes,female,NA,0,0,110.8833,C
Upper,Yes,male,36,0,0,26.3875,S
Upper,No,male,30,0,0,27.75,C
Upper,Yes,female,24,3,2,263,S
Upper,Yes,female,28,3,2,263,S
Upper,Yes,female,23,3,2,263,S
Upper,No,male,19,3,2,263,S
Upper,No,male,64,1,4,263,S
Upper,Yes,female,60,1,4,263,S
Upper,Yes,female,30,0,0,56.9292,C
Upper,No,male,NA,0,0,26.55,S
Upper,Yes,male,50,2,0,133.65,S
Upper,Yes,male,43,1,0,27.7208,C
Upper,Yes,female,NA,1,0,133.65,S
Upper,Yes,female,22,0,2,49.5,C
Upper,Yes,male,60,1,1,79.2,C
Upper,Yes,female,48,1,1,79.2,C
Upper,No,male,NA,0,0,0,S
Upper,No,male,37,1,0,53.1,S
Upper,Yes,female,35,1,0,53.1,S
Upper,No,male,47,0,0,38.5,S
Upper,Yes,female,35,0,0,211.5,C
Upper,Yes,female,22,0,1,59.4,C
Upper,Yes,female,45,0,1,59.4,C
Upper,No,male,24,0,0,79.2,C
Upper,Yes,male,49,1,0,89.1042,C
Upper,Yes,female,NA,1,0,89.1042,C
Upper,No,male,71,0,0,34.6542,C
Upper,Yes,male,53,0,0,28.5,C
Upper,Yes,female,19,0,0,30,S
Upper,No,male,38,0,1,153.4625,S
Upper,Yes,female,58,0,1,153.4625,S
Upper,Yes,male,23,0,1,63.3583,C
Upper,Yes,female,45,0,1,63.3583,C
Upper,No,male,46,0,0,79.2,C
Upper,Yes,male,25,1,0,55.4417,C
Upper,Yes,female,25,1,0,55.4417,C
Upper,Yes,male,48,1,0,76.7292,C
Upper,Yes,female,49,1,0,76.7292,C
Upper,No,male,NA,0,0,42.4,S
Upper,No,male,45,1,0,83.475,S
Upper,Yes,female,35,1,0,83.475,S
Upper,No,male,40,0,0,0,S
Upper,Yes,male,27,0,0,76.7292,C
Upper,Yes,male,NA,0,0,30,S
Upper,Yes,female,24,0,0,83.1583,C
Upper,No,male,55,1,1,93.5,S
Upper,Yes,female,52,1,1,93.5,S
Upper,No,male,42,0,0,42.5,S
Upper,No,male,NA,0,0,51.8625,S
Upper,No,male,55,0,0,50,S
Upper,Yes,female,16,0,1,57.9792,C
Upper,Yes,female,44,0,1,57.9792,C
Upper,Yes,female,51,1,0,77.9583,S
Upper,No,male,42,1,0,52,S
Upper,Yes,female,35,1,0,52,S
Upper,Yes,male,35,0,0,26.55,C
Upper,Yes,male,38,1,0,90,S
Upper,No,male,NA,0,0,30.6958,C
Upper,Yes,female,35,1,0,90,S
Upper,Yes,female,38,0,0,80,
Upper,No,female,50,0,0,28.7125,C
Upper,Yes,male,49,0,0,0,S
Upper,No,male,46,0,0,26,S
Upper,No,male,50,0,0,26,S
Upper,No,male,32.5,0,0,211.5,C
Upper,No,male,58,0,0,29.7,C
Upper,No,male,41,1,0,51.8625,S
Upper,Yes,female,NA,1,0,51.8625,S
Upper,Yes,male,42,1,0,52.5542,S
Upper,Yes,female,45,1,0,52.5542,S
Upper,No,male,NA,0,0,26.55,S
Upper,Yes,female,39,0,0,211.3375,S
Upper,Yes,female,49,0,0,25.9292,S
Upper,Yes,female,30,0,0,106.425,C
Upper,Yes,male,35,0,0,512.3292,C
Upper,No,male,NA,0,0,27.7208,C
Upper,No,male,42,0,0,26.55,S
Upper,Yes,female,55,0,0,27.7208,C
Upper,Yes,female,16,0,1,39.4,S
Upper,Yes,female,51,0,1,39.4,S
Upper,No,male,29,0,0,30,S
Upper,Yes,female,21,0,0,77.9583,S
Upper,No,male,30,0,0,45.5,S
Upper,Yes,female,58,0,0,146.5208,C
Upper,Yes,female,15,0,1,211.3375,S
Upper,No,male,30,0,0,26,S
Upper,Yes,female,16,0,0,86.5,S
Upper,Yes,male,NA,0,0,29.7,C
Upper,No,male,19,1,0,53.1,S
Upper,Yes,female,18,1,0,53.1,S
Upper,Yes,female,24,0,0,49.5042,C
Upper,No,male,46,0,0,75.2417,C
Upper,No,male,54,0,0,51.8625,S
Upper,Yes,male,36,0,0,26.2875,S
Upper,No,male,28,1,0,82.1708,C
Upper,Yes,female,NA,1,0,82.1708,C
Upper,No,male,65,0,0,26.55,S
Upper,No,male,44,2,0,90,Q
Upper,Yes,female,33,1,0,90,Q
Upper,Yes,female,37,1,0,90,Q
Upper,Yes,male,30,1,0,57.75,C
Upper,No,male,55,0,0,30.5,S
Upper,No,male,47,0,0,42.4,S
Upper,No,male,37,0,1,29.7,C
Upper,Yes,female,31,1,0,113.275,C
Upper,Yes,female,23,1,0,113.275,C
Upper,No,male,58,0,2,113.275,C
Upper,Yes,female,19,0,2,26.2833,S
Upper,No,male,64,0,0,26,S
Upper,Yes,female,39,0,0,108.9,C
Upper,Yes,male,NA,0,0,25.7417,C
Upper,Yes,female,22,0,1,61.9792,C
Upper,No,male,65,0,1,61.9792,C
Upper,No,male,28.5,0,0,27.7208,C
Upper,No,male,NA,0,0,0,S
Upper,No,male,45.5,0,0,28.5,S
Upper,No,male,23,0,0,93.5,S
Upper,No,male,29,1,0,66.6,S
Upper,Yes,female,22,1,0,66.6,S
Upper,No,male,18,1,0,108.9,C
Upper,Yes,female,17,1,0,108.9,C
Upper,Yes,female,30,0,0,93.5,S
Upper,Yes,male,52,0,0,30.5,S
Upper,No,male,47,0,0,52,S
Upper,Yes,female,56,0,1,83.1583,C
Upper,No,male,38,0,0,0,S
Upper,Yes,male,NA,0,0,39.6,S
Upper,No,male,22,0,0,135.6333,C
Upper,No,male,NA,0,0,227.525,C
Upper,Yes,female,43,0,1,211.3375,S
Upper,No,male,31,0,0,50.4958,S
Upper,Yes,male,45,0,0,26.55,S
Upper,No,male,NA,0,0,50,S
Upper,Yes,female,33,0,0,27.7208,C
Upper,No,male,46,0,0,79.2,C
Upper,No,male,36,0,0,40.125,C
Upper,Yes,female,33,0,0,86.5,S
Upper,No,male,55,1,0,59.4,C
Upper,Yes,female,54,1,0,59.4,C
Upper,No,male,33,0,0,26.55,S
Upper,Yes,male,13,2,2,262.375,C
Upper,Yes,female,18,2,2,262.375,C
Upper,Yes,female,21,2,2,262.375,C
Upper,No,male,61,1,3,262.375,C
Upper,Yes,female,48,1,3,262.375,C
Upper,Yes,male,NA,0,0,30.5,S
Upper,Yes,female,24,0,0,69.3,C
Upper,Yes,male,NA,0,0,26,S
Upper,Yes,female,35,1,0,57.75,C
Upper,Yes,female,30,0,0,31,C
Upper,Yes,male,34,0,0,26.55,S
Upper,Yes,female,40,0,0,153.4625,S
Upper,Yes,male,35,0,0,26.2875,S
Upper,No,male,50,1,0,55.9,S
Upper,Yes,female,39,1,0,55.9,S
Upper,Yes,male,56,0,0,35.5,C
Upper,Yes,male,28,0,0,35.5,S
Upper,No,male,56,0,0,26.55,S
Upper,No,male,56,0,0,30.6958,C
Upper,No,male,24,1,0,60,S
Upper,No,male,NA,0,0,26,S
Upper,Yes,female,18,1,0,60,S
Upper,Yes,male,24,1,0,82.2667,S
Upper,Yes,female,23,1,0,82.2667,S
Upper,Yes,male,6,0,2,134.5,C
Upper,Yes,male,45,1,1,134.5,C
Upper,Yes,female,40,1,1,134.5,C
Upper,No,male,57,1,0,146.5208,C
Upper,Yes,female,NA,1,0,146.5208,C
Upper,Yes,male,32,0,0,30.5,C
Upper,No,male,62,0,0,26.55,S
Upper,Yes,male,54,1,0,55.4417,C
Upper,Yes,female,43,1,0,55.4417,C
Upper,Yes,female,52,1,0,78.2667,C
Upper,No,male,NA,0,0,27.7208,C
Upper,Yes,female,62,0,0,80,
Upper,No,male,67,1,0,221.7792,S
Upper,No,female,63,1,0,221.7792,S
Upper,No,male,61,0,0,32.3208,S
Upper,Yes,female,48,0,0,25.9292,S
Upper,Yes,female,18,0,2,79.65,S
Upper,No,male,52,1,1,79.65,S
Upper,Yes,female,39,1,1,79.65,S
Upper,Yes,male,48,1,0,52,S
Upper,Yes,female,NA,1,0,52,S
Upper,No,male,49,1,1,110.8833,C
Upper,Yes,male,17,0,2,110.8833,C
Upper,Yes,female,39,1,1,110.8833,C
Upper,Yes,female,NA,0,0,79.2,C
Upper,Yes,male,31,0,0,28.5375,C
Upper,No,male,40,0,0,27.7208,C
Upper,No,male,61,0,0,33.5,S
Upper,No,male,47,0,0,34.0208,S
Upper,Yes,female,35,0,0,512.3292,C
Upper,No,male,64,1,0,75.25,C
Upper,Yes,female,60,1,0,75.25,C
Upper,No,male,60,0,0,26.55,S
Upper,No,male,54,0,1,77.2875,S
Upper,No,male,21,0,1,77.2875,S
Upper,Yes,female,55,0,0,135.6333,C
Upper,Yes,female,31,0,2,164.8667,S
Upper,No,male,57,1,1,164.8667,S
Upper,Yes,female,45,1,1,164.8667,S
Upper,No,male,50,1,1,211.5,C
Upper,No,male,27,0,2,211.5,C
Upper,Yes,female,50,1,1,211.5,C
Upper,Yes,female,21,0,0,26.55,S
Upper,No,male,51,0,1,61.3792,C
Upper,Yes,male,21,0,1,61.3792,C
Upper,No,male,NA,0,0,35,S
Upper,Yes,female,31,0,0,134.5,C
Upper,Yes,male,NA,0,0,35.5,S
Upper,No,male,62,0,0,26.55,S
Upper,Yes,female,36,0,0,135.6333,C
Middle,No,male,30,1,0,24,C
Middle,Yes,female,28,1,0,24,C
Middle,No,male,30,0,0,13,S
Middle,No,male,18,0,0,11.5,S
Middle,No,male,25,0,0,10.5,S
Middle,No,male,34,1,0,26,S
Middle,Yes,female,36,1,0,26,S
Middle,No,male,57,0,0,13,S
Middle,No,male,18,0,0,11.5,S
Middle,No,male,23,0,0,10.5,S
Middle,Yes,female,36,0,0,13,S
Middle,No,male,28,0,0,10.5,S
Middle,No,male,51,0,0,12.525,S
Middle,Yes,male,32,1,0,26,S
Middle,Yes,female,19,1,0,26,S
Middle,No,male,28,0,0,26,S
Middle,Yes,male,1,2,1,39,S
Middle,Yes,female,4,2,1,39,S
Middle,Yes,female,12,2,1,39,S
Middle,Yes,female,36,0,3,39,S
Middle,Yes,male,34,0,0,13,S
Middle,Yes,female,19,0,0,13,S
Middle,No,male,23,0,0,13,S
Middle,No,male,26,0,0,13,S
Middle,No,male,42,0,0,13,S
Middle,No,male,27,0,0,13,S
Middle,Yes,female,24,0,0,13,S
Middle,Yes,female,15,0,2,39,S
Middle,No,male,60,1,1,39,S
Middle,Yes,female,40,1,1,39,S
Middle,Yes,female,20,1,0,26,S
Middle,No,male,25,1,0,26,S
Middle,Yes,female,36,0,0,13,S
Middle,No,male,25,0,0,13,S
Middle,No,male,42,0,0,13,S
Middle,Yes,female,42,0,0,13,S
Middle,Yes,male,0.8333,0,2,29,S
Middle,Yes,male,26,1,1,29,S
Middle,Yes,female,22,1,1,29,S
Middle,Yes,female,35,0,0,21,S
Middle,No,male,NA,0,0,0,S
Middle,No,male,19,0,0,13,S
Middle,No,female,44,1,0,26,S
Middle,No,male,54,1,0,26,S
Middle,No,male,52,0,0,13.5,S
Middle,No,male,37,1,0,26,S
Middle,No,female,29,1,0,26,S
Middle,Yes,female,25,1,1,30,S
Middle,Yes,female,45,0,2,30,S
Middle,No,male,29,1,0,26,S
Middle,Yes,female,28,1,0,26,S
Middle,No,male,29,0,0,10.5,S
Middle,No,male,28,0,0,13,S
Middle,Yes,male,24,0,0,10.5,S
Middle,Yes,female,8,0,2,26.25,S
Middle,No,male,31,1,1,26.25,S
Middle,Yes,female,31,1,1,26.25,S
Middle,Yes,female,22,0,0,10.5,S
Middle,No,female,30,0,0,13,S
Middle,No,female,NA,0,0,21,S
Middle,No,male,21,0,0,11.5,S
Middle,No,male,NA,0,0,0,S
Middle,Yes,male,8,1,1,36.75,S
Middle,No,male,18,0,0,73.5,S
Middle,Yes,female,48,0,2,36.75,S
Middle,Yes,female,28,0,0,13,S
Middle,No,male,32,0,0,13,S
Middle,No,male,17,0,0,73.5,S
Middle,No,male,29,1,0,27.7208,C
Middle,Yes,female,24,1,0,27.7208,C
Middle,No,male,25,0,0,31.5,S
Middle,No,male,18,0,0,73.5,S
Middle,Yes,female,18,0,1,23,S
Middle,Yes,female,34,0,1,23,S
Middle,No,male,54,0,0,26,S
Middle,Yes,male,8,0,2,32.5,S
Middle,No,male,42,1,1,32.5,S
Middle,Yes,female,34,1,1,32.5,S
Middle,Yes,female,27,1,0,13.8583,C
Middle,Yes,female,30,1,0,13.8583,C
Middle,No,male,23,0,0,13,S
Middle,No,male,21,0,0,13,S
Middle,No,male,18,0,0,13,S
Middle,No,male,40,1,0,26,S
Middle,Yes,female,29,1,0,26,S
Middle,No,male,18,0,0,10.5,S
Middle,No,male,36,0,0,13,S
Middle,No,male,NA,0,0,0,S
Middle,No,female,38,0,0,13,S
Middle,No,male,35,0,0,26,S
Middle,No,male,38,1,0,21,S
Middle,No,male,34,1,0,21,S
Middle,Yes,female,34,0,0,13,S
Middle,No,male,16,0,0,26,S
Middle,No,male,26,0,0,10.5,S
Middle,No,male,47,0,0,10.5,S
Middle,No,male,21,1,0,11.5,S
Middle,No,male,21,1,0,11.5,S
Middle,No,male,24,0,0,13.5,S
Middle,No,male,24,0,0,13,S
Middle,No,male,34,0,0,13,S
Middle,No,male,30,0,0,13,S
Middle,No,male,52,0,0,13,S
Middle,No,male,30,0,0,13,S
Middle,Yes,male,0.6667,1,1,14.5,S
Middle,Yes,female,24,0,2,14.5,S
Middle,No,male,44,0,0,13,S
Middle,Yes,female,6,0,1,33,S
Middle,No,male,28,0,1,33,S
Middle,Yes,male,62,0,0,10.5,S
Middle,No,male,30,0,0,10.5,S
Middle,Yes,female,7,0,2,26.25,S
Middle,No,male,43,1,1,26.25,S
Middle,Yes,female,45,1,1,26.25,S
Middle,Yes,female,24,1,2,65,S
Middle,Yes,female,24,1,2,65,S
Middle,No,male,49,1,2,65,S
Middle,Yes,female,48,1,2,65,S
Middle,Yes,female,55,0,0,16,S
Middle,No,male,24,2,0,73.5,S
Middle,No,male,32,2,0,73.5,S
Middle,No,male,21,2,0,73.5,S
Middle,No,female,18,1,1,13,S
Middle,Yes,female,20,2,1,23,S
Middle,No,male,23,2,1,11.5,S
Middle,No,male,36,0,0,13,S
Middle,Yes,female,54,1,3,23,S
Middle,No,male,50,0,0,13,S
Middle,No,male,44,1,0,26,S
Middle,Yes,female,29,1,0,26,S
Middle,No,male,21,0,0,73.5,S
Middle,Yes,male,42,0,0,13,S
Middle,No,male,63,1,0,26,S
Middle,No,female,60,1,0,26,S
Middle,No,male,33,0,0,12.275,S
Middle,Yes,female,17,0,0,10.5,S
Middle,No,male,42,1,0,27,S
Middle,Yes,female,24,2,1,27,S
Middle,No,male,47,0,0,15,S
Middle,No,male,24,2,0,31.5,S
Middle,No,male,22,2,0,31.5,S
Middle,No,male,32,0,0,10.5,S
Middle,Yes,female,23,0,0,13.7917,C
Middle,No,male,34,1,0,26,S
Middle,Yes,female,24,1,0,26,S
Middle,No,female,22,0,0,21,S
Middle,Yes,female,NA,0,0,12.35,Q
Middle,No,male,35,0,0,12.35,Q
Middle,Yes,female,45,0,0,13.5,S
Middle,No,male,57,0,0,12.35,Q
Middle,No,male,NA,0,0,0,S
Middle,No,male,31,0,0,10.5,S
Middle,No,female,26,1,1,26,S
Middle,No,male,30,1,1,26,S
Middle,No,male,NA,0,0,10.7083,Q
Middle,Yes,female,1,1,2,41.5792,C
Middle,Yes,female,3,1,2,41.5792,C
Middle,No,male,25,1,2,41.5792,C
Middle,Yes,female,22,1,2,41.5792,C
Middle,Yes,female,17,0,0,12,C
Middle,Yes,female,NA,0,0,33,S
Middle,Yes,female,34,0,0,10.5,S
Middle,No,male,36,0,0,12.875,C
Middle,No,male,24,0,0,10.5,S
Middle,No,male,61,0,0,12.35,Q
Middle,No,male,50,1,0,26,S
Middle,Yes,female,42,1,0,26,S
Middle,No,female,57,0,0,10.5,S
Middle,No,male,NA,0,0,15.0458,C
Middle,Yes,male,1,0,2,37.0042,C
Middle,No,male,31,1,1,37.0042,C
Middle,Yes,female,24,1,1,37.0042,C
Middle,No,male,NA,0,0,15.5792,C
Middle,No,male,30,0,0,13,S
Middle,No,male,40,0,0,16,S
Middle,No,male,32,0,0,13.5,S
Middle,No,male,30,0,0,13,S
Middle,No,male,46,0,0,26,S
Middle,Yes,female,13,0,1,19.5,S
Middle,Yes,female,41,0,1,19.5,S
Middle,Yes,male,19,0,0,10.5,S
Middle,No,male,39,0,0,13,S
Middle,No,male,48,0,0,13,S
Middle,No,male,70,0,0,10.5,S
Middle,No,male,27,0,0,13,S
Middle,No,male,54,0,0,14,S
Middle,No,male,39,0,0,26,S
Middle,No,male,16,0,0,10.5,S
Middle,No,male,62,0,0,9.6875,Q
Middle,No,male,32.5,1,0,30.0708,C
Middle,Yes,female,14,1,0,30.0708,C
Middle,Yes,male,2,1,1,26,S
Middle,Yes,male,3,1,1,26,S
Middle,No,male,36.5,0,2,26,S
Middle,No,male,26,0,0,13,S
Middle,No,male,19,1,1,36.75,S
Middle,No,male,28,0,0,13.5,S
Middle,Yes,male,20,0,0,13.8625,C
Middle,Yes,female,29,0,0,10.5,S
Middle,No,male,39,0,0,13,S
Middle,Yes,male,22,0,0,10.5,S
Middle,Yes,male,NA,0,0,13.8625,C
Middle,No,male,23,0,0,10.5,S
Middle,Yes,male,29,0,0,13.8583,C
Middle,No,male,28,0,0,10.5,S
Middle,No,male,NA,0,0,0,S
Middle,Yes,female,50,0,1,26,S
Middle,No,male,19,0,0,10.5,S
Middle,No,male,NA,0,0,15.05,C
Middle,No,male,41,0,0,13,S
Middle,Yes,female,21,0,1,21,S
Middle,Yes,female,19,0,0,26,S
Middle,No,male,43,0,1,21,S
Middle,Yes,female,32,0,0,13,S
Middle,No,male,34,0,0,13,S
Middle,Yes,male,30,0,0,12.7375,C
Middle,No,male,27,0,0,15.0333,C
Middle,Yes,female,2,1,1,26,S
Middle,Yes,female,8,1,1,26,S
Middle,Yes,female,33,0,2,26,S
Middle,No,male,36,0,0,10.5,S
Middle,No,male,34,1,0,21,S
Middle,Yes,female,30,3,0,21,S
Middle,Yes,female,28,0,0,13,S
Middle,No,male,23,0,0,15.0458,C
Middle,Yes,male,0.8333,1,1,18.75,S
Middle,Yes,male,3,1,1,18.75,S
Middle,Yes,female,24,2,3,18.75,S
Middle,Yes,female,50,0,0,10.5,S
Middle,No,male,19,0,0,10.5,S
Middle,Yes,female,21,0,0,10.5,S
Middle,No,male,26,0,0,13,S
Middle,No,male,25,0,0,13,S
Middle,No,male,27,0,0,26,S
Middle,Yes,female,25,0,1,26,S
Middle,Yes,female,18,0,2,13,S
Middle,Yes,female,20,0,0,36.75,S
Middle,Yes,female,30,0,0,13,S
Middle,No,male,59,0,0,13.5,S
Middle,Yes,female,30,0,0,12.35,Q
Middle,No,male,35,0,0,10.5,S
Middle,Yes,female,40,0,0,13,S
Middle,No,male,25,0,0,13,S
Middle,No,male,41,0,0,15.0458,C
Middle,No,male,25,0,0,10.5,S
Middle,No,male,18.5,0,0,13,S
Middle,No,male,14,0,0,65,S
Middle,Yes,female,50,0,0,10.5,S
Middle,No,male,23,0,0,13,S
Middle,Yes,female,28,0,0,12.65,S
Middle,Yes,female,27,0,0,10.5,S
Middle,No,male,29,1,0,21,S
Middle,No,female,27,1,0,21,S
Middle,No,male,40,0,0,13,S
Middle,Yes,female,31,0,0,21,S
Middle,No,male,30,1,0,21,S
Middle,No,male,23,1,0,10.5,S
Middle,Yes,female,31,0,0,21,S
Middle,No,male,NA,0,0,0,S
Middle,Yes,female,12,0,0,15.75,S
Middle,Yes,female,40,0,0,15.75,S
Middle,Yes,female,32.5,0,0,13,S
Middle,No,male,27,1,0,26,S
Middle,Yes,female,29,1,0,26,S
Middle,Yes,male,2,1,1,23,S
Middle,Yes,female,4,1,1,23,S
Middle,Yes,female,29,0,2,23,S
Middle,Yes,female,0.9167,1,2,27.75,S
Middle,Yes,female,5,1,2,27.75,S
Middle,No,male,36,1,2,27.75,S
Middle,Yes,female,33,1,2,27.75,S
Middle,No,male,66,0,0,10.5,S
Middle,No,male,NA,0,0,12.875,S
Middle,Yes,male,31,0,0,13,S
Middle,Yes,male,NA,0,0,13,S
Middle,Yes,female,26,0,0,13.5,S
Middle,No,female,24,0,0,13,S
Lower,No,male,42,0,0,7.55,S
Lower,No,male,13,0,2,20.25,S
Lower,No,male,16,1,1,20.25,S
Lower,Yes,female,35,1,1,20.25,S
Lower,Yes,female,16,0,0,7.65,S
Lower,Yes,male,25,0,0,7.65,S
Lower,Yes,male,20,0,0,7.925,S
Lower,Yes,female,18,0,0,7.2292,C
Lower,No,male,30,0,0,7.25,S
Lower,No,male,26,0,0,8.05,S
Lower,No,female,40,1,0,9.475,S
Lower,Yes,male,0.8333,0,1,9.35,S
Lower,Yes,female,18,0,1,9.35,S
Lower,Yes,male,26,0,0,18.7875,C
Lower,No,male,26,0,0,7.8875,S
Lower,No,male,20,0,0,7.925,S
Lower,No,male,24,0,0,7.05,S
Lower,No,male,25,0,0,7.05,S
Lower,No,male,35,0,0,8.05,S
Lower,No,male,18,0,0,8.3,S
Lower,No,male,32,0,0,22.525,S
Lower,Yes,female,19,1,0,7.8542,S
Lower,No,male,4,4,2,31.275,S
Lower,No,female,6,4,2,31.275,S
Lower,No,female,2,4,2,31.275,S
Lower,Yes,female,17,4,2,7.925,S
Lower,No,female,38,4,2,7.775,S
Lower,No,female,9,4,2,31.275,S
Lower,No,female,11,4,2,31.275,S
Lower,No,male,39,1,5,31.275,S
Lower,Yes,male,27,0,0,7.7958,S
Lower,No,male,26,0,0,7.775,S
Lower,No,female,39,1,5,31.275,S
Lower,No,male,20,0,0,7.8542,S
Lower,No,male,26,0,0,7.8958,S
Lower,No,male,25,1,0,17.8,S
Lower,No,female,18,1,0,17.8,S
Lower,No,male,24,0,0,7.775,S
Lower,No,male,35,0,0,7.05,S
Lower,No,male,5,4,2,31.3875,S
Lower,No,male,9,4,2,31.3875,S
Lower,Yes,male,3,4,2,31.3875,S
Lower,No,male,13,4,2,31.3875,S
Lower,Yes,female,5,4,2,31.3875,S
Lower,No,male,40,1,5,31.3875,S
Lower,Yes,male,23,0,0,7.7958,S
Lower,Yes,female,38,1,5,31.3875,S
Lower,Yes,female,45,0,0,7.225,C
Lower,No,male,21,0,0,7.225,C
Lower,No,male,23,0,0,7.05,S
Lower,No,female,17,0,0,14.4583,C
Lower,No,male,30,0,0,7.225,C
Lower,No,male,23,0,0,7.8542,S
Lower,Yes,female,13,0,0,7.2292,C
Lower,No,male,20,0,0,7.225,C
Lower,No,male,32,1,0,15.85,S
Lower,Yes,female,33,3,0,15.85,S
Lower,Yes,female,0.75,2,1,19.2583,C
Lower,Yes,female,0.75,2,1,19.2583,C
Lower,Yes,female,5,2,1,19.2583,C
Lower,Yes,female,24,0,3,19.2583,C
Lower,Yes,female,18,0,0,8.05,S
Lower,No,male,40,0,0,7.225,C
Lower,No,male,26,0,0,7.8958,S
Lower,Yes,male,20,0,0,7.2292,C
Lower,No,female,18,0,1,14.4542,C
Lower,No,female,45,0,1,14.4542,C
Lower,No,female,27,0,0,7.8792,Q
Lower,No,male,22,0,0,8.05,S
Lower,No,male,19,0,0,8.05,S
